# Name: Histogram_1
# Instrument: CNCS
# Ei: 2.7
# Binning: 
# 	[H,H,0]: 75 bins from 0.0 to 0.75, step 0.01
# 	DeltaE: 72 bins from 0.2 to 2.0, step 0.025
# 	[0,0,L]: 1 bins from -3.05 to -2.95
# 	[H,-H,0]: 1 bins from -0.1 to 0.1
# UnitCell:
# 	Lattice parameters: a = 5.71082 b = 5.70969 c = 21.4314 alpha = 90.0249 beta = 89.9439 gamma = 119.988
# 	Orientation u:[0.76409,0.91221,20.4881]	v:[2.70519,2.75431,-6.28141]
# Intensity Error [H,H,0] DeltaE [0,0,L] [H,-H,0]
#  shape: 75x72x1x1
nan nan 5.000000e-03 2.125000e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 2.375000e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 2.625000e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 2.875000e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 3.125000e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 3.375000e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 3.624999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 3.874999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 4.124999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 4.374999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 4.624999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 4.874999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 5.124999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 5.374999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 5.624999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 5.874999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 6.124999e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 6.374998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 6.624998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 6.874998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 7.124998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 7.374998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 7.624998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 7.874998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 8.124998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 8.374998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 8.624998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 8.874998e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 9.124997e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 9.374997e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 9.624997e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 9.874997e-01 -3.000000e+00 0.000000e+00
nan nan 5.000000e-03 1.012500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.037500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.062500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.087500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.112500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.137500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.162500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.187500e+00 -3.000000e+00 0.000000e+00
5.010475e-04 2.892799e-04 5.000000e-03 1.212500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.237500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.262500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.287500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.312500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.337500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.362500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e-03 1.387500e+00 -3.000000e+00 0.000000e+00
1.430451e-04 8.258714e-05 5.000000e-03 1.412500e+00 -3.000000e+00 0.000000e+00
1.143137e-04 6.599905e-05 5.000000e-03 1.437500e+00 -3.000000e+00 0.000000e+00
2.820216e-04 9.400735e-05 5.000000e-03 1.462500e+00 -3.000000e+00 0.000000e+00
3.992037e-04 1.030740e-04 5.000000e-03 1.487500e+00 -3.000000e+00 0.000000e+00
2.079512e-04 6.931733e-05 5.000000e-03 1.512500e+00 -3.000000e+00 0.000000e+00
1.282380e-04 5.235294e-05 5.000000e-03 1.537500e+00 -3.000000e+00 0.000000e+00
4.291445e-04 9.364752e-05 5.000000e-03 1.562500e+00 -3.000000e+00 0.000000e+00
8.898580e-04 1.326531e-04 5.000000e-03 1.587500e+00 -3.000000e+00 0.000000e+00
1.594960e-03 1.740255e-04 5.000000e-03 1.612499e+00 -3.000000e+00 0.000000e+00
1.374119e-03 1.586704e-04 5.000000e-03 1.637499e+00 -3.000000e+00 0.000000e+00
6.894946e-04 1.104081e-04 5.000000e-03 1.662499e+00 -3.000000e+00 0.000000e+00
1.521638e-04 5.072147e-05 5.000000e-03 1.687499e+00 -3.000000e+00 0.000000e+00
1.900582e-04 5.486527e-05 5.000000e-03 1.712499e+00 -3.000000e+00 0.000000e+00
4.428918e-04 8.086099e-05 5.000000e-03 1.737499e+00 -3.000000e+00 0.000000e+00
2.118525e-04 5.470039e-05 5.000000e-03 1.762499e+00 -3.000000e+00 0.000000e+00
1.660500e-03 1.515833e-04 5.000000e-03 1.787499e+00 -3.000000e+00 0.000000e+00
2.212561e-03 1.738368e-04 5.000000e-03 1.812499e+00 -3.000000e+00 0.000000e+00
3.033847e-03 2.050098e-04 5.000000e-03 1.837499e+00 -3.000000e+00 0.000000e+00
1.834217e-03 1.578654e-04 5.000000e-03 1.862499e+00 -3.000000e+00 0.000000e+00
7.598264e-04 1.006421e-04 5.000000e-03 1.887499e+00 -3.000000e+00 0.000000e+00
1.191713e-04 3.972411e-05 5.000000e-03 1.912499e+00 -3.000000e+00 0.000000e+00
1.911565e-04 4.935652e-05 5.000000e-03 1.937499e+00 -3.000000e+00 0.000000e+00
5.389156e-04 8.315708e-05 5.000000e-03 1.962499e+00 -3.000000e+00 0.000000e+00
3.453638e-04 6.646565e-05 5.000000e-03 1.987499e+00 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.125000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.375000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.625000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.875000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.125000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.375000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.624999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.874999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 4.124999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 4.374999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 4.624999e-01 -3.000000e+00 0.000000e+00
